guid,title,updated,resource_url,local_path
fe35c8fc-e320-4976-93e2-7290de3cb3e4,fe35c8fc-e320-4976-93e2-7290de3cb3e4,2019-04-01T09:31:03.8830000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/fe35c8fc-e320-4976-93e2-7290de3cb3e4,tweede_kamer_documents\fe35c8fc-e320-4976-93e2-7290de3cb3e4_fe35c8fc-e320-4976-93e2-7290de3cb3e4.bin
1c116367-7571-48d8-ba12-cfdf6d551aa9,1c116367-7571-48d8-ba12-cfdf6d551aa9,2019-04-01T09:31:23.7900000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/1c116367-7571-48d8-ba12-cfdf6d551aa9,tweede_kamer_documents\1c116367-7571-48d8-ba12-cfdf6d551aa9_1c116367-7571-48d8-ba12-cfdf6d551aa9.bin
7a0bff62-80c6-4cf4-b5f2-a4928c0a82a4,7a0bff62-80c6-4cf4-b5f2-a4928c0a82a4,2019-04-01T09:31:32.1800000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/7a0bff62-80c6-4cf4-b5f2-a4928c0a82a4,tweede_kamer_documents\7a0bff62-80c6-4cf4-b5f2-a4928c0a82a4_7a0bff62-80c6-4cf4-b5f2-a4928c0a82a4.bin
e69eed04-3170-46fa-8296-4887affadfea,e69eed04-3170-46fa-8296-4887affadfea,2019-04-01T09:31:42.7130000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/e69eed04-3170-46fa-8296-4887affadfea,tweede_kamer_documents\e69eed04-3170-46fa-8296-4887affadfea_e69eed04-3170-46fa-8296-4887affadfea.bin
e26f3aa6-d955-4f24-b082-3ea8981354f7,e26f3aa6-d955-4f24-b082-3ea8981354f7,2019-04-01T09:31:53.1970000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/e26f3aa6-d955-4f24-b082-3ea8981354f7,tweede_kamer_documents\e26f3aa6-d955-4f24-b082-3ea8981354f7_e26f3aa6-d955-4f24-b082-3ea8981354f7.bin
1a06acdf-22be-45cf-928b-536f3dc3ddb3,1a06acdf-22be-45cf-928b-536f3dc3ddb3,2019-04-01T09:32:03.6970000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/1a06acdf-22be-45cf-928b-536f3dc3ddb3,tweede_kamer_documents\1a06acdf-22be-45cf-928b-536f3dc3ddb3_1a06acdf-22be-45cf-928b-536f3dc3ddb3.bin
ea783ab7-3f51-4194-9645-2270671efd68,ea783ab7-3f51-4194-9645-2270671efd68,2019-04-01T09:32:14.2130000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/ea783ab7-3f51-4194-9645-2270671efd68,tweede_kamer_documents\ea783ab7-3f51-4194-9645-2270671efd68_ea783ab7-3f51-4194-9645-2270671efd68.bin
7052bc81-de05-4111-b138-821ebacd112c,7052bc81-de05-4111-b138-821ebacd112c,2019-04-01T09:32:22.5870000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/7052bc81-de05-4111-b138-821ebacd112c,tweede_kamer_documents\7052bc81-de05-4111-b138-821ebacd112c_7052bc81-de05-4111-b138-821ebacd112c.bin
51074ba9-7965-4395-93a6-fbc19bc85d3c,51074ba9-7965-4395-93a6-fbc19bc85d3c,2019-04-01T09:32:34.1500000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/51074ba9-7965-4395-93a6-fbc19bc85d3c,tweede_kamer_documents\51074ba9-7965-4395-93a6-fbc19bc85d3c_51074ba9-7965-4395-93a6-fbc19bc85d3c.bin
7e1e016f-cf73-4d7d-900b-b7f4771c55da,7e1e016f-cf73-4d7d-900b-b7f4771c55da,2019-04-01T09:32:43.7130000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/7e1e016f-cf73-4d7d-900b-b7f4771c55da,tweede_kamer_documents\7e1e016f-cf73-4d7d-900b-b7f4771c55da_7e1e016f-cf73-4d7d-900b-b7f4771c55da.bin
0e9d6ee8-74d5-4768-9112-7f55bc9d484b,0e9d6ee8-74d5-4768-9112-7f55bc9d484b,2019-04-01T09:32:53.2130000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/0e9d6ee8-74d5-4768-9112-7f55bc9d484b,tweede_kamer_documents\0e9d6ee8-74d5-4768-9112-7f55bc9d484b_0e9d6ee8-74d5-4768-9112-7f55bc9d484b.bin
451354fd-dfb0-4ffe-874c-cf626f91a6d0,451354fd-dfb0-4ffe-874c-cf626f91a6d0,2019-04-01T09:33:03.1200000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/451354fd-dfb0-4ffe-874c-cf626f91a6d0,tweede_kamer_documents\451354fd-dfb0-4ffe-874c-cf626f91a6d0_451354fd-dfb0-4ffe-874c-cf626f91a6d0.bin
3310f007-8b4b-4667-9d48-34d81b9f049b,3310f007-8b4b-4667-9d48-34d81b9f049b,2019-04-01T09:33:15.7600000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/3310f007-8b4b-4667-9d48-34d81b9f049b,tweede_kamer_documents\3310f007-8b4b-4667-9d48-34d81b9f049b_3310f007-8b4b-4667-9d48-34d81b9f049b.bin
9f76096c-656a-4baa-8473-92bca82d48b7,9f76096c-656a-4baa-8473-92bca82d48b7,2019-04-01T09:33:23.1830000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/9f76096c-656a-4baa-8473-92bca82d48b7,tweede_kamer_documents\9f76096c-656a-4baa-8473-92bca82d48b7_9f76096c-656a-4baa-8473-92bca82d48b7.bin
1c0504c4-7994-4f5c-91ae-270726fd327e,1c0504c4-7994-4f5c-91ae-270726fd327e,2019-04-01T09:33:33.1200000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/1c0504c4-7994-4f5c-91ae-270726fd327e,tweede_kamer_documents\1c0504c4-7994-4f5c-91ae-270726fd327e_1c0504c4-7994-4f5c-91ae-270726fd327e.bin
be129ac8-4728-4f0a-a709-967aea76efc2,be129ac8-4728-4f0a-a709-967aea76efc2,2019-04-01T09:33:44.9800000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/be129ac8-4728-4f0a-a709-967aea76efc2,tweede_kamer_documents\be129ac8-4728-4f0a-a709-967aea76efc2_be129ac8-4728-4f0a-a709-967aea76efc2.bin
6261c05e-e680-4c99-b421-0315751f970b,6261c05e-e680-4c99-b421-0315751f970b,2019-04-01T09:33:55.7170000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/6261c05e-e680-4c99-b421-0315751f970b,tweede_kamer_documents\6261c05e-e680-4c99-b421-0315751f970b_6261c05e-e680-4c99-b421-0315751f970b.bin
7c2e396b-d489-4352-a393-df47c4984c3d,7c2e396b-d489-4352-a393-df47c4984c3d,2019-04-01T09:34:03.1200000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/7c2e396b-d489-4352-a393-df47c4984c3d,tweede_kamer_documents\7c2e396b-d489-4352-a393-df47c4984c3d_7c2e396b-d489-4352-a393-df47c4984c3d.bin
292d9501-9c21-4bab-8277-858a4da37c8b,292d9501-9c21-4bab-8277-858a4da37c8b,2019-04-01T09:34:12.5900000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/292d9501-9c21-4bab-8277-858a4da37c8b,tweede_kamer_documents\292d9501-9c21-4bab-8277-858a4da37c8b_292d9501-9c21-4bab-8277-858a4da37c8b.bin
3044ac69-7eb1-48c4-b610-0e1d073a2fde,3044ac69-7eb1-48c4-b610-0e1d073a2fde,2019-04-01T09:34:23.0900000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/3044ac69-7eb1-48c4-b610-0e1d073a2fde,tweede_kamer_documents\3044ac69-7eb1-48c4-b610-0e1d073a2fde_3044ac69-7eb1-48c4-b610-0e1d073a2fde.bin
5087c763-23c6-4202-ae5e-0cd1584f4f22,5087c763-23c6-4202-ae5e-0cd1584f4f22,2019-04-01T09:34:32.5430000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/5087c763-23c6-4202-ae5e-0cd1584f4f22,tweede_kamer_documents\5087c763-23c6-4202-ae5e-0cd1584f4f22_5087c763-23c6-4202-ae5e-0cd1584f4f22.bin
64f83bd6-ba00-4b5d-8800-7db95539a2db,64f83bd6-ba00-4b5d-8800-7db95539a2db,2019-04-01T09:34:44.0900000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/64f83bd6-ba00-4b5d-8800-7db95539a2db,tweede_kamer_documents\64f83bd6-ba00-4b5d-8800-7db95539a2db_64f83bd6-ba00-4b5d-8800-7db95539a2db.bin
e592a522-4c2d-4474-84b4-37c2dfa89ab5,e592a522-4c2d-4474-84b4-37c2dfa89ab5,2019-04-01T09:34:52.4970000Z,https://gegevensmagazijn.tweedekamer.nl/SyncFeed/2.0/Resources/e592a522-4c2d-4474-84b4-37c2dfa89ab5,tweede_kamer_documents\e592a522-4c2d-4474-84b4-37c2dfa89ab5_e592a522-4c2d-4474-84b4-37c2dfa89ab5.bin
